domain,timestamp,resource,response_code,response_length
dyn-162.direct.ca,[02/Jun/1995:21:19:10-0600],/~ladd/vet_libraries.html,200,9367.0
cad.esimeaz.ipn.mx,[02/Jun/1995:21:26:40-0600],/~macphed/finite/fe_resources/node36.html,200,1539.0
sask.usask.ca,[02/Jun/1995:21:46:28-0600],/~lowey/Saskatoon/searching/index.html,200,1425.0
star8.hkstar.com,[02/Jun/1995:22:00:31-0600],/cgi-bin/pursuit-beta?protein ,200,32017.0
bova.peak.org,[02/Jun/1995:22:10:41-0600],/~scottp/fn1.gif,200,2164.0
wwwproxy.info.au,[02/Jun/1995:22:32:50-0600],/~scottp/fn1.gif,200,2164.0
s24105.cle.ab.com,[02/Jun/1995:22:51:23-0600],/dcs/courses/cai/html/contents.html ,200,1453.0
sask.usask.ca,[02/Jun/1995:23:09:41-0600],/ ,200,3384.0
198.110.74.10,[02/Jun/1995:23:35:56-0600],/cgi-bin/hytelnet?file=SITES1 ,200,354.0
duke.usask.ca,[02/Jun/1995:23:53:46-0600],/lynx_help/keystroke_commands/keystroke_help.html ,200,2368.0
interchg.ubc.ca,[03/Jun/1995:00:25:14-0600],/~lowey/encyclopedia/help.html,200,2570.0
www-b1.proxy.aol.com,[03/Jun/1995:00:41:38-0600],/~lowey/encyclopedia/d/dinosaurs.html,200,2458.0
198.110.74.10,[03/Jun/1995:00:56:59-0600],/cgi-bin/hytelnet ,200,1485.0
unix.ccsnet.com,[03/Jun/1995:01:20:19-0600],/~dougallg/www.htm,200,2244.0
dyn-143.direct.ca,[03/Jun/1995:01:41:21-0600],/~lowey/Saskatchewan/icons/flag.gif,200,227.0
line19.nwm.mindlink.net,[03/Jun/1995:02:43:43-0600],/cgi-bin/cusi?query=swank&service=http%3A%2F%2Fwebcrawler.cs.washington.edu%2Fcgi-bin%2FWebQuery%3F_cusi-search-term-here_ ,302,158.0
alf.usask.ca,[03/Jun/1995:03:43:22-0600],/~lowey/Saskatchewan/icons/citynet.gif,200,776.0
ns1.vu-wien.ac.at,[03/Jun/1995:04:53:37-0600],/~ladd/images/at_work.gif,200,242.0
ns.access.ch,[03/Jun/1995:05:33:35-0600],/images/logo.gif ,200,2273.0
t16.dialup.peg.apc.org,[03/Jun/1995:06:11:19-0600],/images/earth_32.gif ,200,241.0
tangh.demon.co.uk,[03/Jun/1995:07:01:41-0600],/~turner/duesouth.html,200,1440.0
138.38.32.34,[03/Jun/1995:07:35:27-0600],/ ,200,3384.0
herald.usask.ca,[03/Jun/1995:07:58:44-0600],/WebReport/duke/May1995.sum ,200,210793.0
